Person_ID,Index_Name, IN_Foreign_Notation,Real_Name, RN_Foreign_Notation,Birth_Year,Death_Year,Birth_Place,Sex,ISNI,Responsibility
1,강경애,姜敬愛,강경애,姜敬愛,1907,1943,황해도 송화,여,0000 0000 8396 8420,유건수
2,강노향,姜鷺鄕,강성구,姜聖九,?,?,경상남도 하동,남,0000 0004 6448 6556,유건수
3,강성주,姜晟周,강성주,姜晟周,?,?,?,?,?,유건수
4,강소천,姜小泉,강용률,姜龍律,1915,1963,함경남도 고원,남,0000 0000 8259 5554,유건수
5,강승한,姜承翰,강승한,姜承翰,1918,1950,황해남도 신천,?,0000 0004 7749 3106,유건수
6,강용흘,姜鏞訖,강용흘,姜鏞訖,1898,1972,함경남도 홍원,남,0000 0000 9654 0036,유건수
7,계용묵,桂鎔默,하태용,河泰鏞,1904,1961,평안북도 선천,남,0000 0000 8146 1765,유건수
8,고두동,高斗東,고두동,高斗東,1903,1994,경상남도 충무,남,0000 0004 6420 4088,유건수
9,고정옥,高晶玉,고정옥,高晶玉,1911,1969,경상남도 함양,남,0000 0000 4085 3471,유건수
10,고한승,高漢承,고한승,高漢承,1902,1950,경기도 개성,남,0000 0004 6019 7140,유건수
11,곽종원,郭鐘元,곽종원,郭鐘元,1915,2001,경상북도 고령,남,0000 0004 6426 016X,유건수
12,곽하신,郭夏信,곽하신,郭夏信,1920,?,경기도 연천,남,0000 0004 6426 0282,유건수
13,구연묵,具然默,구연묵,具然默,?,?,?,?,?,유건수
14,구연학,具然學,구연학,具然學,1874,?,?,?,0000 0000 3460 1841,유건수
15,구자균,具滋均,구자균,具滋均,1912,1964,경기도 개성,남,0000 0000 6353 5177,유건수
16,권구현,權九玄,권구현,權龜鉉,1898,1938,충청북도 영동,남,0000 0000 3865 8861,유건수
17,권덕규,權悳奎,권덕규,權悳奎,1890,1950,경기도 김포,남,0000 0000 4111 403X,유건수
18,권상로,權相老,권상로,權相老,1879,1965,경상북도 문경,남,0000 0000 8351 8796,유건수
19,권중휘,權重輝,권중휘,權重輝,1905,2003,경상북도 안동,남,0000 0000 5003 3880,유건수
20,권환,權煥,권경완,權景完,1903,1954,경상남도 창원,남,0000 0004 5859 4550,유건수
21,김광균,金光均,김광균,金光均,1914,1993,경기도 개성,남,0000 0000 8197 3031,유건수
22,김광섭,金珖燮,김광섭,金珖燮,1905,1977,함경북도 경성,남,0000 0000 8191 7937,유건수
23,김광주,金光洲,김광주,金光洲,1910,1973,경기도 수원,남,0000 0000 2477 5776,유건수
24,김교제,金敎濟,김교제,金敎濟,1883,?,서울,남,0000 0004 6427 4924,유건수
25,김기림,金起林,김인손,金仁孫,1908,?,함경북도 학성,남,0000 0000 8443 7672,유건수
26,김기석,金基錫,김기석,金基錫,1905,1974,평안북도 용천,남,0000 0000 2776 7755,유건수
27,김기진,金基鎭,김기진,金基鎭,1903,1985,충청북도 청원,남,000 0000 8434 8610,유건수
28,김남천,金南天,김효식,金孝植,1911,1953,평안남도 성천,남,0000 0000 8272 9276,유건수
29,김내성,金來成,김내성,金來成,1909,1957,평안남도 대동,남,0000 0004 5440 1918,유건수
30,김달진,金達鎭,김달진,金達鎭,1907,1989,경상남도 창원,남,0000 0000 8111 8545,유건수
31,김대봉,金大鳳,김대봉,金大鳳,1908,1943,경상남도 김해,남,0000 0000 2489 2833,유건수
32,김동규,金東奎,김동규,金東奎,?,?,?,?,?,유건수
33,김동리,金東里,김시종,金始鐘,1913,1995,경상북도 경주,남,0000 0001 1698 2203,유건수
34,김동명,金東鳴,김동명,金東鳴,1900,1968,강원도 명주,남,0000 0000 3044 1860,유건수
35,김동석,金東錫,김동석,金東錫,1913,?,경기도 인천,남,0000 0000 4983 594X,유건수
36,김동인,金東仁,김동인,金東仁,1900,1951,평안남도 평양,남,0000 0001 0915 8152,유건수
37,김동환,金東煥,김동환,金東煥,1901,1958,함경북도 경성,남,0000 0001 3913 7942,유건수
38,김두용,金斗鏞,김두용,金斗鏞,1902,?,함경남도 함흥,남,0000 0004 6463 5494,유건수
39,김만선,金萬善,김만선,金萬善,1915,?,서울,남,0000 0000 4698 7905,유건수
40,김말봉,金末峯,김말봉,金末鳳,1901,1961,경상남도밀양,여,0000 0000 8330 2813,유건수
41,김명순,金明淳,김명순,金明淳,1896,1951,평안남도 평양,여,0000 0000 5096 4466,유건수
42,김문집,金文輯,김문집,金文輯,1907,?,경상북도 대구,남,0000 0004 5932 7235,유건수
43,김병규,金秉逵,김병규,金秉逵,?,?,?,?,?,유건수
44,김병호,金炳昊,김병호,金炳昊,1909,1961,경상남도,?,?,유건수
45,김복진,金復鎭,김복진,金復鎭,1901,1940,충청북도 충주,남,0000 0001 1566 4107,유건수
46,김북원,金北原,김북원,金北原,1911,1984,함경북도 홍원,남,0000 0004 9196 1439,유건수
47,김사량,金史良,김시창,金時昌,1914,1950,평안남도 평양,남,0000 0003 7474 1955,유건수
48,김사엽,金思燁,김사엽,金思燁,1912,1992,경상북도 칠곡,남,0000 0003 8593 7953,유건수
49,김상민,金常民,김상민,金常民,?,?,?,?,?,유건수
50,김상옥,金相沃,김상옥,金相沃,1920,2004,경상남도 충무,남,0000 0000 2492 169X,유건수
51,김상용,金尙鎔,김상용,金尙鎔,1902,1957,경기도 연천,남,0000 0000 8234 3322,유건수
52,김상훈,金尙勳,김상훈,金尙勳,1919,1987,경상남도 거창,남,0000 0000 6351 3285,유건수
53,김성근,金聲近,김성근,金聲近,1909,?,함경남도 함흥,?,0000 0004 7422 7945,유건수
54,김소엽,金沼葉,김병국,金炳國,1912,?,경기도 개성,남,0000 0004 6432 0628,유건수
55,김소운,金素雲,김교중,金敎重,1907,1981,부산,남,0000 0000 3197 4423,유건수
56,김소월,金素月,김정식,金廷湜,1902,1934,평안북도 구성,남,0000 0000 8154 1255,유건수
57,김송,金松,김현송,金玄松,1909,1988,함경남도 함주,남,0000 0004 6442 0100,유건수
58,김수돈,金洙敦,김수돈,金洙敦,1917,1966,경상남도 마산,남,0000 0004 6432 1292,유건수
59,김승구,金承久,김상복,金相福,1914,1994,경기도 수원,남,0000 0004 7552 858X,유건수
60,김억,金億,김희권,金熙權,1895,1948,평안북도 정주,남,0000 0004 5875 5297,유건수
61,김영건,金永鍵,김영건,金永鍵,1910,?,서울,남,0000 0004 7776 5108,유건수
62,김영랑,金永郞,김윤식,金允植,1903,1950,전라남도 강진,남,0000 0001 1573 4283,유건수
63,김영석,金永錫,김영석,金永錫,?,?,?,남,?,유건수
64,김영수,金永壽,김영수,金永壽,1911,1977,서울,남,0000 0000 2371 0540,유건수
65,김영일,金英一,김영일,金英一,1914,1984,황해도 신천,남,0000 0000 2348 554X,유건수
66,김영진,金永鎭,김영진,金永鎭,1898,1981,경상북도 군위,남,0000 0004 7388 0504,유건수
67,김영팔,金永八,김영팔,金永八,1904,1950,서울,남,0000 0004 6435 1352,유건수
68,김오남,金午男,김오남,金午男,1906,1996,경기도 연천,여,0000 0003 5608 1877,유건수
69,김오성,金午星,김형준,金亨俊,1906,?,평안북도 용천,남,?,유건수
70,김용제,金龍濟,김용제,金龍濟,1909,1994,충청북도 음성,남,0000 0000 8201 510X,유건수
71,김용호,金容浩,김용호,金容浩,1912,1973,경상남도 마산,남,0000 0000 2607 827X,유건수
72,김우진,金宇鎭,김우진,金宇鎭,?,?,?,?,?,유건수
73,김우진,金祐鎭,김우진,金祐鎭,1897,1926,전라남도 장성,남,0000 0000 2745 9170,유건수
74,김우철,金友哲,김우철,金友哲,1915,1959,평안북도 의주,남,0000 0004 7242 3360,유건수
75,김유영,金幽影,김영득,金榮得,1907,1940,경상북도 선산,남,0000 0004 7873 3781,유건수
76,김유정,金裕貞,김유정,金裕貞,1908,1937,강원도 춘성,남,0000 0000 8070 1819,유건수
77,김윤경,金允經,김윤경,金允經,1894,1969,경기도 광주,남,0000 0000 6345 3235,유건수
78,김이석,金利錫,김이석,金利錫,1914,1964,평안남도 평양,남,0000 0000 4109 3961,유건수
79,김일엽,金一葉,김원주,金元周,1896,1971,평안남도 용강,여,0000 0000 4754 1008,유건수
80,김재철,金在喆,김재철,金在喆,1907,1933,충청북도 괴산,남,0000 0000 2779 1413,유건수
81,김정진,金井鎭,김운정,金雲汀,1886,1936,서울,남,0000 0004 6457 0395,유건수
82,김정한,金廷漢,김정한,金廷漢,1908,1996,경상남도 동래,남,0000 0000 8103 4835,유건수
83,김조규,金朝奎,김조규,金朝奎,1914,1990,평안남도 덕천,남,0000 0000 3855 7817,유건수
84,김종한,金鐘漢,김종한,金鐘漢,1914,1944,함경북도 경성,남,0000 0000 3366 5624,유건수
85,김진섭,金晉燮,김진섭,金晉燮,1903,?,전라남도 목포,남,0000 0000 2230 4487,유건수
86,김진세,金軫世,김진세,金軫世,?,?,함경북도 경성,?,?,유건수
87,김진수,金鎭壽,김진수,金鎭壽,1909,1966,평안남도 중화,남,0000 0004 8027 8642,유건수
88,김찬영,金瓚永,김찬영,金瓚永,1889,1960,평안남도 평양,남,?,유건수
89,김창술,金昌述,김창술,金昌述,1902,1953,전라북도 전주,남,0000 0000 3657 5966,유건수
90,김철수,金哲洙,김철수,金哲洙,?,?,?,?,?,유건수
91,김태오,金泰午,김태오,金泰午,1903,1976,전라남도 광주,남,0000 0000 5261 6000,유건수
92,김태준,金台俊,김태준,金台俊,1905,1949,평안북도 운산,남,0000 0001 1276 5893,유건수
93,김태진,金兌鎭,김태진,金兌鎭,1905,1949,함경남도 단천,남,0000 0004 7392 233X,유건수
94,김해강,金海剛,김대준,金大駿,1903,1984,전라북도 전주,남,0000 0004 6441 7366,유건수
95,김현승,金顯承,김현승,金顯承,1913,1975,전라남도 광주,남,0000 0003 6800 0667,유건수
96,김형원,金炯元,김형원,金炯元,1900,?,충청남도 논산,남,0000 0000 5072 3910,유건수
97,김화산,金華山,방준경,方俊卿,1905,?,서울,남,?,유건수
98,김환,金煥,김환,金煥,?,?,?,?,?,유건수
99,김환태,金煥泰,김환태,金煥泰,1909,1944,전라북도 무주,남,0000 0000 2743 5339,유건수
100,나도향,羅稻香,나경손,羅慶孫,1902,1926,서울,남,0000 0000 8376 0910,유건수
101,나혜석,羅蕙錫,나정월,羅晶月,1896,1948,경기도 수원,여,0000 0000 2352 748X,유건수
102,남궁만,南宮滿,남궁만,南宮滿,?,?,평안남도 강서,?,0000 0004 8395 3260,유건수
